ShippingID,OrderID,Carrier,ShippingCost,ShippingStatus,TrackingNumber
SHIP58,ORDER58,India Post,309.35,Delivered,6366ad2c-1ab3-483f-97c5-bed49410bc6a
SHIP59,ORDER59,BlueDart,298.39,Delivered,68606efa-0f60-4499-a874-75937194b660
SHIP60,ORDER60,BlueDart,161.63,Delivered,be5cbfbd-96ab-4939-9cad-8e2875823b3f
SHIP61,ORDER61,BlueDart,86.53,Pending,d2b50971-8e19-4af8-9218-1bbf101b3878
SHIP62,ORDER62,BlueDart,358.83,Delivered,4fa75fa9-d249-41c1-984d-fd939e0fa386
SHIP63,ORDER63,DHL,342.29,In Transit,8fdc0aff-b0a6-4717-ab32-bd2a2bd15bcc
SHIP64,ORDER64,DHL,355.39,Pending,05a3f8e6-647c-48df-a382-8dfa4a8ca651
SHIP65,ORDER65,BlueDart,88.68,Delivered,9abeeda5-8014-4d77-a139-48eaf154d98e
SHIP66,ORDER66,India Post,285.53,Delivered,018c0544-3bcd-4d17-9ce5-8e2d7963b11f
SHIP67,ORDER67,India Post,242.71,Delivered,3121a2f0-27b6-4e28-8619-fbc9046217d1
SHIP68,ORDER68,FedEx,355.64,Pending,f2036667-b5a8-4339-b498-15fe1a69ef5a
SHIP69,ORDER69,BlueDart,492.72,Delivered,03e206f3-cb85-4a17-a8b2-92ec6d5fc88d
SHIP70,ORDER70,DHL,330.62,Delivered,beb15b63-cf04-450f-a783-cebb719e8336
SHIP71,ORDER71,DHL,401.0,Pending,2f9cd6e2-3e72-47b0-9195-4be94a7cf006
SHIP72,ORDER72,BlueDart,96.88,Delivered,72f2827d-ff6b-440d-89e5-b4278491397d
SHIP73,ORDER73,DHL,303.18,Pending,1c1fc3c4-b65f-4c28-aa4e-04aa64333dbf
SHIP74,ORDER74,DHL,464.68,Delivered,b2ea87b0-b9b2-41db-8244-35d298e10f7d
SHIP75,ORDER75,BlueDart,133.65,In Transit,5be81618-1b21-4462-8651-dc51a78a3355
SHIP76,ORDER76,DHL,474.12,Delivered,d55964a3-e132-4802-ab2c-cb679bcab107
SHIP77,ORDER77,BlueDart,334.07,Delivered,aa959e4a-5523-41df-ae2f-f18e98271e8d
SHIP78,ORDER78,DHL,302.33,Delivered,d43dcbc3-7e72-47b3-855b-127b77eb2134
SHIP79,ORDER79,DHL,390.66,In Transit,e48e5b69-17ea-472b-92d7-2411fcbda9b4
SHIP80,ORDER80,DHL,498.29,Pending,feb41b21-cafa-44fd-8912-93eb680c23fd
SHIP81,ORDER81,BlueDart,417.53,Delivered,efd67c07-c2e6-465e-84bd-d211574f3837
SHIP82,ORDER82,FedEx,221.91,In Transit,a1372168-ef87-40bc-8328-f43be37aad57
SHIP83,ORDER83,DHL,206.06,In Transit,1fe480b1-dc69-44d3-8e23-3b0473b288af
SHIP84,ORDER84,BlueDart,141.28,Delivered,d5d83b63-3e50-4f87-8666-dcc768245b33
SHIP85,ORDER85,FedEx,289.71,Delivered,b9f14e39-8129-4a4c-82e7-bdf02b30808c
SHIP86,ORDER86,DHL,338.35,In Transit,539dc469-049e-4d18-bb70-ccc4e8520cd3
SHIP87,ORDER87,DHL,334.81,In Transit,c4c0fa78-21d8-4870-a23d-fdef805da128
SHIP88,ORDER88,DHL,112.63,Pending,d46d3549-e148-4923-978e-b9fcba3dd2a5
SHIP89,ORDER89,India Post,327.48,Pending,bd768556-4873-4881-9c4c-7d3e5b4d82ce
SHIP90,ORDER90,DHL,487.75,Pending,122506bd-761a-4a51-856a-cb6ecd6ee46d
SHIP91,ORDER91,FedEx,129.56,Delivered,3b1bbcfa-4741-4b7f-b668-78ab8a4904e8
SHIP92,ORDER92,BlueDart,61.51,Delivered,d7e40645-50a6-44bf-832a-d5c37cefc890
SHIP93,ORDER93,India Post,497.22,Pending,e5da4eec-2187-408b-92a5-75a204dd695c
SHIP94,ORDER94,DHL,445.88,Delivered,3309415f-5c95-4304-af72-3bf8aa2fac06
SHIP95,ORDER95,DHL,138.78,Delivered,94466e76-ed0d-4856-9bc5-3116af22fddb
SHIP96,ORDER96,India Post,472.84,In Transit,7efa5090-1c1e-4bd6-820e-c94a5676082c
SHIP97,ORDER97,India Post,481.38,Delivered,f3e578e9-3e15-452b-8546-f663d58fb50e
SHIP98,ORDER98,DHL,255.26,In Transit,3887a2f1-1a5f-4bfd-8b0b-a465c95282b2
SHIP99,ORDER99,BlueDart,54.51,Delivered,11a8dfda-0d17-4296-a157-bab7e5c2fc64
SHIP100,ORDER100,FedEx,299.6,Delivered,658c35e2-ad62-471f-a669-761b59a8dcbe
SHIP101,ORDER101,India Post,377.81,In Transit,79c4873a-2b80-40d7-b2b4-f7a31fc5201c
SHIP102,ORDER102,DHL,108.49,In Transit,f4aeae9e-b2a3-403f-bea8-f8ed64ccd48d
SHIP103,ORDER103,India Post,177.22,Pending,1951a920-5ea7-46f2-bec3-43b58c972564
SHIP104,ORDER104,FedEx,472.96,Pending,524af02b-144a-4bd6-adcf-d78538808a1d
SHIP105,ORDER105,FedEx,204.31,Delivered,c1a42d0f-957a-4ed3-a8d3-4fc1bb041eba
SHIP106,ORDER106,DHL,438.93,Delivered,b47dec57-c4ae-41e2-9763-521880ce300c
SHIP107,ORDER107,India Post,329.49,Delivered,879c3577-7ac0-43ab-830c-6b35e5ad8bcb
SHIP108,ORDER108,India Post,130.91,Delivered,4144a8a8-f0d4-4f6b-8775-0d66e97e9456
SHIP109,ORDER109,FedEx,117.74,Delivered,bc232d9d-342f-40c6-9714-3e4f5cf9f8f6
SHIP110,ORDER110,BlueDart,165.96,Delivered,4986179b-8632-40a1-91c5-4c4800f232f5
SHIP111,ORDER111,FedEx,342.33,Delivered,7f5dd8cc-1c6b-48ab-ae60-e666289c5c0e
SHIP112,ORDER112,BlueDart,477.9,Delivered,a3ac218d-b36a-4996-88fc-5f4f3de8ddad
SHIP113,ORDER113,FedEx,317.06,In Transit,1452cc21-ee4f-4dee-98e6-6ed84b81fe06
SHIP114,ORDER114,BlueDart,69.67,In Transit,3647e3fc-e327-4251-a3f9-f73340372e8b
SHIP115,ORDER115,BlueDart,414.65,Delivered,b312260a-0e16-4b0d-b7fa-31b40378de7e
SHIP116,ORDER116,BlueDart,174.68,In Transit,1aaee092-f9f1-4f90-9f68-8d2cff2c5b8b
SHIP117,ORDER117,India Post,88.29,Pending,bc6cfe60-e080-4d85-b3a8-34d71b2f8d3b
SHIP118,ORDER118,India Post,89.74,Delivered,40abff26-d42a-49a7-b0ea-b08804c8e600
SHIP119,ORDER119,FedEx,425.17,Pending,464f1fbb-d4b3-49d1-8b05-a9270b60f3f5
SHIP120,ORDER120,India Post,225.27,Pending,d91f3220-4367-4a5c-9ae8-7cff59abc125
SHIP121,ORDER121,BlueDart,72.52,Pending,cc9fe649-086f-4c8b-b9a9-a4055ccd1ac1
SHIP122,ORDER122,BlueDart,95.73,Pending,038d2a5a-a8ae-430e-ba0e-29d435542313
SHIP123,ORDER123,DHL,406.11,Pending,66b47877-6031-4ea3-b124-a98a3f8939af
SHIP124,ORDER124,FedEx,60.62,Delivered,84e1e138-2097-4dae-8411-9324022fdc30
SHIP125,ORDER125,FedEx,371.06,Pending,f8eaaa1e-2326-4d0a-8642-2b0474b982ae
SHIP126,ORDER126,India Post,112.31,Delivered,93939ecc-da8e-4fa1-b261-569b6d5683b6
SHIP127,ORDER127,BlueDart,188.14,Delivered,8ef1b143-215b-4fa8-91e5-ad7e89a72c78
SHIP128,ORDER128,DHL,455.46,In Transit,2c0fe79a-1008-484e-8105-46dac8921b0b
SHIP129,ORDER129,FedEx,178.96,Delivered,ed92434f-145b-4063-8d2b-842c27d57dce
SHIP130,ORDER130,India Post,128.93,In Transit,3263355e-c7cd-487b-9967-567dce990ff9
SHIP131,ORDER131,FedEx,316.05,Pending,28118761-6fe2-4bd6-9dd1-8929308aff33
SHIP132,ORDER132,DHL,71.37,Pending,923c4247-e750-4ff5-8985-45c954e431a7
SHIP133,ORDER133,India Post,413.94,Delivered,6e6d2e49-6e63-4076-8af3-8dc3dca24e85
SHIP134,ORDER134,BlueDart,452.47,In Transit,0d2b1b72-fe74-4fc9-88a0-8d679e35ee00
SHIP135,ORDER135,DHL,116.43,Delivered,f06d0fb1-0bec-4b41-99b5-7aa95cd3152d
SHIP136,ORDER136,India Post,355.82,Delivered,58d06d86-bdd4-4351-95ad-69a9430f156b
SHIP137,ORDER137,DHL,185.06,In Transit,a4c9ad48-e7a0-4be4-a747-59b0736165bf
SHIP138,ORDER138,FedEx,461.48,Pending,0621afe7-d8b8-4030-a1dd-67df5c83dcbb
SHIP139,ORDER139,BlueDart,349.13,Delivered,8c6cbac6-6e48-4846-817a-8dad515be6e9
SHIP140,ORDER140,DHL,444.08,Pending,6d5b128d-8201-4b06-87fc-224d4bf3ae9f
SHIP141,ORDER141,BlueDart,453.86,In Transit,a9af258c-d621-4eb8-8665-108106382564
SHIP142,ORDER142,BlueDart,349.03,Delivered,ff953b9f-a980-4ee6-89cd-d8f93dd818b3
SHIP143,ORDER143,India Post,283.43,In Transit,63bd963c-6260-4cf8-b48d-3875d60b163f
SHIP144,ORDER144,DHL,228.15,Pending,6c56bf10-ae47-4792-9be0-c3f729e661fe
SHIP145,ORDER145,India Post,448.32,In Transit,46ac749c-61bc-4f3f-bfa8-b593d90cc733
SHIP146,ORDER146,DHL,308.16,In Transit,1dbb99f3-f53e-4aa2-939d-cc535ee80e64
SHIP147,ORDER147,BlueDart,313.54,Delivered,52a58da2-4dbc-490b-8a37-2eae5b1a85fe
SHIP148,ORDER148,BlueDart,445.88,Pending,b102f747-198e-46cf-ae7e-0b4ad87d0617
SHIP149,ORDER149,BlueDart,365.2,In Transit,7a6cf2c3-5454-4b70-b8dc-4242c170a0c4
SHIP150,ORDER150,FedEx,448.16,Pending,f347a1eb-7d90-41d7-9dcf-bb68a31cc692
SHIP151,ORDER151,BlueDart,173.26,Pending,cb3f1394-c941-448f-a98e-d777bbd871c9
SHIP152,ORDER152,FedEx,435.66,Delivered,ba826d32-ae71-48e3-a3e6-9b04427f0775
SHIP153,ORDER153,India Post,414.92,Delivered,e1abc000-be87-4845-b2bd-abec18786734
SHIP154,ORDER154,FedEx,54.95,Pending,95aea71e-ef4d-4531-9fda-949f760fae07
SHIP155,ORDER155,India Post,256.93,Delivered,44c75909-8774-4d8e-a43d-b8a3fb874d63
SHIP156,ORDER156,India Post,436.81,In Transit,87d948b4-2b96-4b18-8de8-4ce4d3e0e07d
SHIP157,ORDER157,BlueDart,325.61,Delivered,d7393f10-82cf-40a2-a9a7-8f921ae0d020
SHIP158,ORDER158,FedEx,446.99,Pending,a3795b49-2762-4137-b714-286ddaa7e53d
SHIP159,ORDER159,India Post,52.57,Pending,8eb5fefa-8d68-4b84-99dd-878e9ed09abb
SHIP160,ORDER160,BlueDart,236.55,Delivered,ff08c59f-536d-4f46-a635-44aac05a95d4
SHIP161,ORDER161,DHL,361.46,Delivered,e77c6d0f-54d0-446b-9b2b-df5a37495fd4
SHIP162,ORDER162,India Post,245.97,Delivered,a34ce2ed-6145-40ae-8223-1e0019c2c81c
SHIP163,ORDER163,BlueDart,295.96,Pending,9f4836c7-5bb4-457a-8715-f9151765bf09
SHIP164,ORDER164,DHL,317.6,Delivered,c974f7df-9980-494f-88e2-9eb16410d7e6
SHIP165,ORDER165,FedEx,90.78,Delivered,2e3b3c46-b05e-47dd-9ea4-5f9f30bca0db
SHIP166,ORDER166,FedEx,363.15,Delivered,b651ed6d-5699-483d-ae77-74d206913181
SHIP167,ORDER167,FedEx,400.82,Pending,9c5adab5-2b09-46fc-94d7-e881eefcb3d1
SHIP168,ORDER168,BlueDart,434.53,In Transit,acc498cd-c0d3-4fb5-a499-6036153802f7
SHIP169,ORDER169,FedEx,311.06,Pending,f3040e41-5700-4cc8-acd9-e6aa0544ac48
SHIP170,ORDER170,FedEx,87.02,In Transit,ee230dc5-3a5e-454b-aa45-37760306fd78
SHIP171,ORDER171,DHL,188.71,In Transit,639f4d69-d08e-417a-933f-91e01994d9e3
SHIP172,ORDER172,India Post,448.46,Pending,a3ec1c6a-e354-4111-90ca-4a39d774b4d3
SHIP173,ORDER173,BlueDart,423.66,Pending,d75a7e9d-1efe-400a-acc4-adf5284beff1
SHIP174,ORDER174,India Post,191.26,Pending,52ff53b1-149f-4d64-ba8e-5c31411d1236
SHIP175,ORDER175,India Post,54.01,Delivered,323e6f5f-e2b0-41ea-933d-52eab450cc9a
SHIP176,ORDER176,FedEx,96.49,In Transit,b0e97421-e7cc-4fe0-a9be-7cfbed3e1f82
SHIP177,ORDER177,BlueDart,80.06,Pending,f8dfdf44-a41f-45c0-a2d0-a9cba78c5ce1
SHIP178,ORDER178,BlueDart,422.42,Pending,f04395ba-cfb9-4af9-9dfe-c73f510c4e24
SHIP179,ORDER179,India Post,148.18,Pending,989e9c62-24fd-4d34-9a40-25d5a0c49275
SHIP180,ORDER180,DHL,131.16,Delivered,e5d2759b-5c93-4951-9866-7c4ac31ffd83
SHIP181,ORDER181,BlueDart,260.44,In Transit,f9422cb8-a7b6-4733-949f-81bb7e42df1d
SHIP182,ORDER182,BlueDart,195.81,Pending,45218c6e-de66-4106-aa44-2f9ea9621ddc
SHIP183,ORDER183,FedEx,325.43,Delivered,12c7e775-8211-4ca1-9740-5fbea500659d
SHIP184,ORDER184,FedEx,214.18,In Transit,fd7dd217-2fc8-48a2-831e-11cbb4e13f8d
SHIP185,ORDER185,BlueDart,383.19,In Transit,b3440dd6-b703-4882-8a28-cceaa7ecfe01
SHIP186,ORDER186,FedEx,470.52,Pending,5b1089c3-3b97-44d7-984f-f734d7356679
SHIP187,ORDER187,India Post,346.89,In Transit,4a830d0f-39ce-4839-8058-c598637c8328
SHIP188,ORDER188,DHL,177.13,Delivered,c3a02bdc-e161-411c-878c-22439890bc67
SHIP189,ORDER189,DHL,80.53,In Transit,d3dc5f58-c9bb-4b30-8d33-c8e74833694c
SHIP190,ORDER190,India Post,318.09,Delivered,5f8df8c6-710d-4b0b-aceb-4d07f0a0cc41
SHIP191,ORDER191,India Post,159.84,Delivered,1923ffe8-bde6-4450-8350-d524f3c0d7e6
SHIP192,ORDER192,India Post,368.54,Pending,53686f17-6be5-4335-9176-f5d5cf46a264
SHIP193,ORDER193,FedEx,409.24,In Transit,ff862a51-88ee-4fc6-99ca-f73f72c307e9
SHIP194,ORDER194,BlueDart,481.04,Delivered,dd4a22c0-6d93-4e49-ac6b-4f4513147324
SHIP195,ORDER195,FedEx,132.45,Pending,f32d86bf-1310-47c1-b178-fabeaa42bdb5
SHIP196,ORDER196,FedEx,144.42,Delivered,c893005f-0636-431f-8c1f-ba3eb6c713fb
SHIP197,ORDER197,DHL,131.3,In Transit,da776be8-e36d-44a9-b433-6453a242d12f
SHIP198,ORDER198,FedEx,380.01,Delivered,e7315373-d336-4dde-b362-98e82ca90f2d
SHIP199,ORDER199,DHL,390.73,In Transit,89e3627f-b10e-4079-90b0-76623203d840
SHIP200,ORDER200,BlueDart,409.77,In Transit,5d8153f7-bed0-4dc9-973a-1971ce8f7ce4
SHIP201,ORDER201,FedEx,449.28,In Transit,3b77e152-7fb8-4dcc-90dc-ebad414ab534
SHIP202,ORDER202,India Post,344.78,Pending,a6e2a68d-ef67-405e-828b-8f06711531db
SHIP203,ORDER203,DHL,256.91,Delivered,f38c5c7b-e0d9-4f12-b48f-49465bdcdc0b
SHIP204,ORDER204,FedEx,462.2,In Transit,d34c7074-7a4d-4aab-90ef-2dcb2f4cbb2b
SHIP205,ORDER205,DHL,270.82,Pending,2ff71754-c8df-4453-97bb-90696202f762
SHIP206,ORDER206,BlueDart,391.11,Delivered,da092c91-9893-43ed-8ad6-e2eae9403058
SHIP207,ORDER207,FedEx,85.02,Delivered,bb484865-688f-49bb-9bee-2dba42cb37fc
SHIP208,ORDER208,India Post,360.05,In Transit,5abd7277-10bf-4afd-8760-44c7e15ecf49
SHIP209,ORDER209,BlueDart,149.31,In Transit,7617b2e8-673f-47d1-b562-534b2482eaee
SHIP210,ORDER210,BlueDart,333.55,Delivered,54ea0934-3e78-43a6-a272-678ba5771741
SHIP211,ORDER211,BlueDart,431.47,Delivered,1fa27cb4-e4bc-430e-8f89-6f9fbf3f8dfb
SHIP212,ORDER212,BlueDart,391.31,Delivered,c17bb418-583a-47dc-96d7-1a9b9f544deb
SHIP213,ORDER213,India Post,436.11,In Transit,06141763-52d1-4c26-8cf7-36e396eef323
SHIP214,ORDER214,DHL,225.01,In Transit,2a56ad43-7f90-47c9-a8cf-a4e24ee9dfda
SHIP215,ORDER215,India Post,253.51,Delivered,d95b78ff-0321-41ae-8af2-51b322da8610
SHIP216,ORDER216,India Post,296.13,In Transit,b20fdfb7-b96c-46d0-a76c-cec55ff12a44
SHIP217,ORDER217,India Post,342.04,In Transit,c1605455-676d-4868-92a9-cb41e52f2fb0
SHIP218,ORDER218,DHL,428.05,Delivered,51a1ebd1-e2a2-4f11-97b0-dada1190b57d
SHIP219,ORDER219,DHL,231.33,In Transit,d9e83f1a-1fa8-4950-a46e-b4b251f4cdcf
SHIP220,ORDER220,DHL,332.99,Delivered,1071399a-f752-4186-8a92-91d33530d391
SHIP221,ORDER221,India Post,339.26,In Transit,4361cf06-494e-479d-8173-d80344c0c9a2
SHIP222,ORDER222,FedEx,229.94,In Transit,f197c22d-f53b-449c-94b1-4614eaf9e302
SHIP223,ORDER223,India Post,348.44,Pending,ae55f252-76d7-4610-bacb-998b5b18ad6e
SHIP224,ORDER224,DHL,321.9,Pending,9d5bbd82-d63f-49d6-aabb-dd79bea5d271
SHIP225,ORDER225,BlueDart,121.74,Delivered,573d833e-38ed-4e02-a776-67a76f5a3ea6
SHIP226,ORDER226,BlueDart,76.69,In Transit,00b35dd0-2b2d-43ec-8a54-bc33b263a320
SHIP227,ORDER227,India Post,136.89,Delivered,53ca7318-49ce-4bfc-b9ec-60b107a4fac8
SHIP228,ORDER228,FedEx,173.37,Delivered,b98131f7-d164-4ef7-84dc-4c45db37a004
SHIP229,ORDER229,India Post,204.48,In Transit,2fbfdea7-e633-4fbc-a621-a01a02ecb8a5
SHIP230,ORDER230,BlueDart,456.32,Delivered,79a8c9c9-b4c5-437f-9f4f-5734f8b6da88
SHIP231,ORDER231,DHL,59.95,Pending,2ba72894-b37b-4321-a6f0-d56364bdcc1f
SHIP232,ORDER232,DHL,280.68,Pending,bb96b76a-1a30-45af-95e8-a59b3635bf37
SHIP233,ORDER233,BlueDart,427.9,Pending,661d162b-75e2-46d4-8fa8-227226029356
SHIP234,ORDER234,DHL,299.35,Pending,b91ebbad-93ca-4be7-b54a-510b13e45550
SHIP235,ORDER235,FedEx,374.33,Pending,61bdc354-10dc-4c38-b27f-c5e95b2c5fd9
SHIP236,ORDER236,DHL,238.45,Pending,7294eb5a-8562-4d12-9f78-603485082b10
SHIP237,ORDER237,India Post,404.93,Delivered,14e01a78-6fdd-4861-968e-7c2c8445f75d
SHIP238,ORDER238,BlueDart,221.81,In Transit,a0d4b019-8b42-4dea-bbe2-20c89d17e5e1
SHIP239,ORDER239,FedEx,139.05,Delivered,a5460991-c86c-49d0-a5c5-fb0351e6a430
SHIP240,ORDER240,India Post,73.23,Pending,d6cca76f-d7ab-412d-8765-9935bd846e20
SHIP241,ORDER241,DHL,231.25,In Transit,efbb33fe-6584-454b-8eb8-2134cf406971
SHIP242,ORDER242,India Post,113.67,In Transit,616ee6b0-2054-459c-bc9b-19bb663377a9
SHIP243,ORDER243,DHL,381.97,Delivered,df8f8fc8-5142-4ef3-959d-739f32694f0d
SHIP244,ORDER244,FedEx,125.8,Delivered,630b6dcf-c766-4f96-b55e-5fe56a68acdb
SHIP245,ORDER245,India Post,435.99,Pending,31ee8469-ba76-4525-9bef-efb1123efe30
SHIP246,ORDER246,India Post,201.56,Delivered,1c5fad8a-dfcb-4047-8a73-dde9a239a33f
SHIP247,ORDER247,BlueDart,443.34,Delivered,05f09c36-8ba5-49d2-88fe-29e053db1413
SHIP248,ORDER248,DHL,468.97,In Transit,72fdd4b6-1cec-4a45-a6e7-4a1285fa1b03
SHIP249,ORDER249,India Post,299.9,Pending,315dd508-1e61-4318-aefc-d6867efbeb3a
SHIP250,ORDER250,FedEx,363.78,In Transit,2efee6de-b8a2-4d5f-9303-0624826d2d8d
SHIP251,ORDER251,BlueDart,454.72,Delivered,23d7dd48-4335-4c65-90af-608558775d38
SHIP252,ORDER252,India Post,489.91,Delivered,6e2609fc-a883-4e43-b306-08a5077a3ed3
SHIP253,ORDER253,BlueDart,155.74,Delivered,c63aa9c2-0ce2-4202-826f-eede71d76f1c
SHIP254,ORDER254,FedEx,53.86,Pending,426ae65e-94aa-4a37-8998-08210777ba11
SHIP255,ORDER255,BlueDart,159.06,Delivered,93d8a05c-8eeb-48dd-ac79-6e242a115f45
SHIP256,ORDER256,BlueDart,85.05,Delivered,9ddb77ce-db90-45aa-88f3-4cacdcb682e3
SHIP257,ORDER257,BlueDart,155.09,In Transit,fafc45cf-e486-449a-aa6f-203d698cc792
SHIP258,ORDER258,India Post,470.08,Delivered,c0597ba1-34a5-463c-9181-0880457e31ef
SHIP259,ORDER259,India Post,115.27,In Transit,b8365ee6-df65-4256-9e7f-b53cc8f6e792
SHIP260,ORDER260,FedEx,382.7,Pending,0e0d42cf-fba2-4525-8fe8-37f52a30405b
SHIP261,ORDER261,DHL,405.0,Delivered,36b0c791-614a-4e8f-844b-c9ac0eac10a8
SHIP262,ORDER262,India Post,238.68,Delivered,7a193097-a16e-411f-a018-de4662a266cf
SHIP263,ORDER263,FedEx,220.17,Pending,9359a195-3464-4c0b-bd2a-3d872937a269
SHIP264,ORDER264,India Post,449.61,Delivered,87b7845e-dce4-41b2-822f-ba757f32b610
