OrderID,CustomerID,ProductID,StoreID,OrderDate,DeliveryDate,ActualDeliveryDate,Quantity,TotalAmount
ORDER67,CUST1881,PROD203,STORE10,2023-07-19,2023-07-21,2023-07-21,3,1210.29
ORDER68,CUST3703,PROD263,STORE9,2024-01-25,2024-01-31,2024-01-31,1,1528.77
ORDER69,CUST921,PROD213,STORE1,2023-06-11,2023-06-16,2023-06-17,4,5075.64
ORDER70,CUST4042,PROD245,STORE3,2023-03-24,2023-04-03,2023-04-03,3,5921.28
ORDER71,CUST4243,PROD69,STORE10,2022-03-04,2022-03-08,2022-03-09,4,2082.28
ORDER72,CUST2980,PROD159,STORE4,2024-05-13,2024-05-17,2024-05-16,5,7522.3
ORDER73,CUST7617,PROD134,STORE2,2022-02-06,2022-02-12,2022-02-13,7,5080.25
ORDER74,CUST4257,PROD257,STORE3,2022-06-20,2022-06-26,2022-06-26,1,1136.86
ORDER75,CUST5766,PROD180,STORE3,2023-10-27,2023-10-31,2023-11-01,4,7872.12
ORDER76,CUST3143,PROD264,STORE7,2022-11-20,2022-11-28,2022-11-29,1,272.84
ORDER77,CUST3224,PROD172,STORE10,2022-09-20,2022-09-28,2022-09-28,8,8292.08
ORDER78,CUST7373,PROD167,STORE2,2023-09-09,2023-09-13,2023-09-14,6,5215.86
ORDER79,CUST7313,PROD51,STORE6,2022-04-07,2022-04-10,2022-04-11,2,2268.42
ORDER80,CUST1012,PROD116,STORE1,2024-03-14,2024-03-20,2024-03-21,6,2485.44
ORDER81,CUST5546,PROD234,STORE10,2022-03-27,2022-03-29,2022-03-29,10,12967.2
ORDER82,CUST3799,PROD184,STORE10,2022-04-07,2022-04-14,2022-04-13,3,5627.76
ORDER83,CUST1209,PROD112,STORE5,2024-06-13,2024-06-18,2024-06-17,4,6632.56
ORDER84,CUST2386,PROD194,STORE5,2024-01-08,2024-01-13,2024-01-12,6,9586.56
ORDER85,CUST1363,PROD7,STORE9,2024-08-03,2024-08-08,2024-08-08,2,3232.16
ORDER86,CUST6692,PROD105,STORE3,2023-11-30,2023-12-09,2023-12-10,2,3562.82
ORDER87,CUST591,PROD179,STORE6,2022-12-25,2022-12-27,2022-12-26,2,962.08
ORDER88,CUST5577,PROD169,STORE10,2023-07-30,2023-08-07,2023-08-06,8,1152.32
ORDER89,CUST6859,PROD237,STORE2,2023-04-03,2023-04-13,2023-04-13,5,2094.15
ORDER90,CUST816,PROD1,STORE9,2022-09-27,2022-09-30,2022-10-01,8,15024.16
ORDER91,CUST2168,PROD43,STORE8,2024-10-30,2024-11-08,2024-11-07,7,11794.16
ORDER92,CUST3604,PROD140,STORE10,2023-08-19,2023-08-24,2023-08-23,7,5830.93
ORDER93,CUST1584,PROD218,STORE10,2022-01-10,2022-01-14,2022-01-15,1,786.05
ORDER94,CUST7329,PROD210,STORE5,2022-09-18,2022-09-24,2022-09-24,9,10908.81
ORDER95,CUST310,PROD141,STORE9,2022-10-04,2022-10-11,2022-10-11,5,7296.75
ORDER96,CUST5994,PROD206,STORE3,2024-11-17,2024-11-22,2024-11-22,8,5496.4
ORDER97,CUST2918,PROD77,STORE4,2022-08-06,2022-08-10,2022-08-10,10,17826.4
ORDER98,CUST5799,PROD207,STORE9,2022-08-04,2022-08-08,2022-08-07,1,331.82
ORDER99,CUST5691,PROD9,STORE9,2023-02-10,2023-02-18,2023-02-19,3,2739.3
ORDER100,CUST832,PROD188,STORE9,2022-05-25,2022-05-27,2022-05-26,2,453.0
ORDER101,CUST1645,PROD70,STORE2,2022-10-29,2022-11-02,2022-11-02,10,1548.2
ORDER102,CUST1384,PROD10,STORE8,2023-06-05,2023-06-11,2023-06-12,10,10760.7
ORDER103,CUST6218,PROD2,STORE7,2024-06-28,2024-07-04,2024-07-03,10,19656.7
ORDER104,CUST1538,PROD35,STORE9,2023-01-08,2023-01-16,2023-01-16,9,4314.24
ORDER105,CUST6693,PROD207,STORE7,2023-03-04,2023-03-14,2023-03-14,5,1659.1
ORDER106,CUST1891,PROD225,STORE10,2023-01-14,2023-01-24,2023-01-25,7,5079.48
ORDER107,CUST7466,PROD142,STORE2,2022-05-01,2022-05-04,2022-05-05,7,10724.14
ORDER108,CUST7328,PROD176,STORE1,2022-07-19,2022-07-25,2022-07-26,6,10063.86
ORDER109,CUST5645,PROD48,STORE3,2022-03-15,2022-03-25,2022-03-24,6,7528.44
ORDER110,CUST5844,PROD193,STORE5,2023-02-07,2023-02-15,2023-02-16,4,6454.32
ORDER111,CUST1136,PROD208,STORE9,2024-01-23,2024-01-25,2024-01-26,9,6168.24
ORDER112,CUST1437,PROD129,STORE7,2023-10-13,2023-10-17,2023-10-16,7,7060.41
ORDER113,CUST4697,PROD183,STORE6,2024-01-18,2024-01-27,2024-01-28,10,7738.7
ORDER114,CUST1767,PROD174,STORE1,2024-09-14,2024-09-18,2024-09-17,6,1078.62
ORDER115,CUST7285,PROD49,STORE1,2023-01-23,2023-01-29,2023-01-29,4,6574.68
ORDER116,CUST4688,PROD190,STORE3,2024-07-19,2024-07-25,2024-07-24,5,6100.1
ORDER117,CUST6082,PROD238,STORE3,2022-05-19,2022-05-21,2022-05-22,4,1234.16
ORDER118,CUST3419,PROD244,STORE4,2022-02-27,2022-03-08,2022-03-09,6,6274.74
ORDER119,CUST1130,PROD167,STORE6,2024-04-09,2024-04-14,2024-04-14,7,6085.17
ORDER120,CUST3199,PROD250,STORE6,2022-11-30,2022-12-03,2022-12-03,4,7150.44
ORDER121,CUST1077,PROD22,STORE9,2022-05-16,2022-05-25,2022-05-25,7,6875.33
ORDER122,CUST322,PROD260,STORE5,2024-08-12,2024-08-17,2024-08-16,6,4670.16
ORDER123,CUST4227,PROD132,STORE2,2023-04-11,2023-04-15,2023-04-16,5,9627.45
ORDER124,CUST1191,PROD163,STORE6,2022-03-24,2022-03-27,2022-03-27,6,5477.82
ORDER125,CUST1591,PROD255,STORE1,2023-01-27,2023-02-03,2023-02-04,10,18439.9
ORDER126,CUST4214,PROD250,STORE9,2024-07-28,2024-07-30,2024-07-30,4,7150.44
ORDER127,CUST5540,PROD234,STORE5,2023-02-16,2023-02-22,2023-02-23,5,6483.6
ORDER128,CUST3024,PROD195,STORE8,2024-04-21,2024-04-23,2024-04-24,2,233.56
ORDER129,CUST5885,PROD116,STORE7,2022-09-16,2022-09-20,2022-09-21,4,1656.96
ORDER130,CUST7095,PROD221,STORE2,2022-07-28,2022-08-03,2022-08-04,5,5962.1
ORDER131,CUST2109,PROD60,STORE2,2023-01-20,2023-01-27,2023-01-27,9,13231.35
ORDER132,CUST4183,PROD209,STORE6,2022-11-01,2022-11-11,2022-11-12,3,3432.3
ORDER133,CUST3059,PROD257,STORE4,2024-05-04,2024-05-14,2024-05-15,3,3410.58
ORDER134,CUST2633,PROD4,STORE5,2022-12-14,2022-12-20,2022-12-21,8,11933.6
ORDER135,CUST6377,PROD225,STORE8,2024-10-15,2024-10-24,2024-10-24,2,1451.28
ORDER136,CUST5007,PROD68,STORE8,2023-09-22,2023-10-01,2023-10-02,10,19877.5
ORDER137,CUST4088,PROD267,STORE1,2023-04-14,2023-04-22,2023-04-23,5,6542.0
ORDER138,CUST461,PROD72,STORE2,2023-04-26,2023-05-06,2023-05-06,1,1382.04
ORDER139,CUST3322,PROD127,STORE3,2023-09-19,2023-09-25,2023-09-25,10,12453.7
ORDER140,CUST581,PROD226,STORE8,2024-01-26,2024-01-28,2024-01-29,8,10970.64
ORDER141,CUST2592,PROD104,STORE2,2024-08-11,2024-08-20,2024-08-19,10,1307.7
ORDER142,CUST2774,PROD86,STORE6,2022-02-07,2022-02-17,2022-02-17,6,7304.64
ORDER143,CUST4463,PROD52,STORE8,2024-04-26,2024-04-28,2024-04-28,7,5520.55
ORDER144,CUST320,PROD107,STORE9,2024-01-07,2024-01-11,2024-01-10,6,5211.72
ORDER145,CUST2617,PROD120,STORE4,2023-03-10,2023-03-12,2023-03-11,1,539.82
ORDER146,CUST7988,PROD34,STORE5,2024-11-30,2024-12-02,2024-12-02,9,3968.1
ORDER147,CUST6975,PROD167,STORE7,2022-01-05,2022-01-13,2022-01-14,9,7823.79
ORDER148,CUST3028,PROD142,STORE9,2022-02-07,2022-02-15,2022-02-16,8,12256.16
ORDER149,CUST2679,PROD66,STORE10,2022-03-24,2022-03-26,2022-03-27,8,14565.52
ORDER150,CUST706,PROD164,STORE9,2023-10-16,2023-10-24,2023-10-24,4,4998.24
ORDER151,CUST3930,PROD198,STORE6,2022-12-30,2023-01-05,2023-01-04,2,3571.4
ORDER152,CUST7620,PROD65,STORE2,2023-07-23,2023-07-26,2023-07-26,2,2304.78
ORDER153,CUST3664,PROD48,STORE7,2024-03-11,2024-03-17,2024-03-16,1,1254.74
ORDER154,CUST17,PROD244,STORE6,2024-06-09,2024-06-16,2024-06-15,5,5228.95
ORDER155,CUST5019,PROD27,STORE8,2024-08-04,2024-08-12,2024-08-12,10,8384.3
ORDER156,CUST7398,PROD217,STORE10,2022-07-05,2022-07-10,2022-07-09,10,13759.0
ORDER157,CUST1480,PROD124,STORE3,2023-07-16,2023-07-19,2023-07-18,6,3358.2
ORDER158,CUST3738,PROD10,STORE1,2022-06-02,2022-06-11,2022-06-12,4,4304.28
ORDER159,CUST1816,PROD139,STORE4,2022-03-14,2022-03-16,2022-03-16,4,7154.76
ORDER160,CUST6225,PROD129,STORE3,2024-11-07,2024-11-15,2024-11-15,7,7060.41
ORDER161,CUST2217,PROD169,STORE8,2022-06-28,2022-07-05,2022-07-06,3,432.12
ORDER162,CUST4576,PROD232,STORE1,2024-02-19,2024-02-29,2024-02-28,7,9366.77
ORDER163,CUST2170,PROD147,STORE4,2023-07-26,2023-07-28,2023-07-29,4,4649.96
ORDER164,CUST91,PROD227,STORE8,2022-10-01,2022-10-05,2022-10-04,10,9782.5
ORDER165,CUST3426,PROD200,STORE3,2022-07-17,2022-07-25,2022-07-26,9,4744.62
ORDER166,CUST6006,PROD221,STORE7,2023-03-01,2023-03-04,2023-03-05,2,2384.84
ORDER167,CUST1673,PROD150,STORE9,2024-10-20,2024-10-23,2024-10-22,6,4291.56
ORDER168,CUST413,PROD94,STORE2,2023-06-12,2023-06-17,2023-06-16,6,9240.42
ORDER169,CUST4690,PROD157,STORE9,2023-05-06,2023-05-15,2023-05-15,4,6523.08
ORDER170,CUST877,PROD175,STORE10,2023-09-24,2023-10-03,2023-10-03,6,3951.6
ORDER171,CUST2234,PROD67,STORE5,2023-04-25,2023-05-01,2023-04-30,4,4677.76
ORDER172,CUST4840,PROD260,STORE10,2023-02-10,2023-02-16,2023-02-17,4,3113.44
ORDER173,CUST2327,PROD153,STORE4,2023-01-02,2023-01-09,2023-01-09,1,1419.79
ORDER174,CUST2620,PROD116,STORE1,2022-10-04,2022-10-09,2022-10-09,6,2485.44
ORDER175,CUST7685,PROD217,STORE1,2023-01-29,2023-01-31,2023-02-01,3,4127.7
ORDER176,CUST2874,PROD96,STORE9,2023-10-18,2023-10-26,2023-10-27,5,6457.05
ORDER177,CUST7984,PROD167,STORE4,2024-10-08,2024-10-16,2024-10-16,4,3477.24
ORDER178,CUST5895,PROD208,STORE9,2022-06-23,2022-06-28,2022-06-27,6,4112.16
ORDER179,CUST1723,PROD171,STORE10,2022-11-28,2022-12-02,2022-12-02,2,3638.36
ORDER180,CUST5661,PROD111,STORE6,2023-03-04,2023-03-13,2023-03-13,3,5089.32
ORDER181,CUST449,PROD107,STORE10,2023-06-19,2023-06-29,2023-06-29,5,4343.1
ORDER182,CUST3544,PROD177,STORE8,2022-08-19,2022-08-26,2022-08-27,9,4149.81
ORDER183,CUST5730,PROD259,STORE4,2023-12-01,2023-12-10,2023-12-09,2,3291.22
ORDER184,CUST1315,PROD199,STORE2,2022-02-21,2022-02-26,2022-02-25,2,2439.48
ORDER185,CUST4631,PROD257,STORE6,2024-11-30,2024-12-03,2024-12-03,4,4547.44
ORDER186,CUST6401,PROD91,STORE1,2023-07-29,2023-07-31,2023-08-01,6,11151.54
ORDER187,CUST6613,PROD257,STORE2,2022-11-08,2022-11-12,2022-11-13,1,1136.86
ORDER188,CUST7110,PROD163,STORE2,2024-08-01,2024-08-10,2024-08-10,4,3651.88
ORDER189,CUST6615,PROD162,STORE1,2024-03-10,2024-03-16,2024-03-16,4,266.12
ORDER190,CUST3842,PROD112,STORE3,2024-03-07,2024-03-16,2024-03-17,3,4974.42
ORDER191,CUST3441,PROD144,STORE6,2022-07-09,2022-07-16,2022-07-15,3,874.62
ORDER192,CUST1074,PROD19,STORE4,2023-06-19,2023-06-23,2023-06-22,3,1124.61
ORDER193,CUST1051,PROD232,STORE7,2022-04-08,2022-04-17,2022-04-16,10,13381.1
ORDER194,CUST3734,PROD218,STORE1,2024-10-23,2024-11-02,2024-11-03,3,2358.15
ORDER195,CUST3087,PROD30,STORE3,2023-10-28,2023-11-05,2023-11-06,6,6031.26
ORDER196,CUST4670,PROD111,STORE8,2022-12-31,2023-01-04,2023-01-03,4,6785.76
ORDER197,CUST2700,PROD157,STORE4,2024-01-09,2024-01-17,2024-01-17,10,16307.7
ORDER198,CUST5615,PROD238,STORE10,2022-06-07,2022-06-10,2022-06-10,9,2776.86
ORDER199,CUST481,PROD227,STORE10,2022-10-11,2022-10-20,2022-10-19,2,1956.5
ORDER200,CUST957,PROD56,STORE2,2024-02-26,2024-03-05,2024-03-06,9,12517.65
ORDER201,CUST3115,PROD167,STORE2,2023-06-04,2023-06-14,2023-06-14,5,4346.55
ORDER202,CUST551,PROD116,STORE6,2022-06-12,2022-06-21,2022-06-20,10,4142.4
ORDER203,CUST475,PROD262,STORE9,2023-04-29,2023-05-02,2023-05-01,1,206.55
ORDER204,CUST7679,PROD137,STORE9,2023-06-28,2023-06-30,2023-06-30,1,1602.56
ORDER205,CUST2124,PROD238,STORE5,2024-12-11,2024-12-16,2024-12-16,7,2159.78
ORDER206,CUST2197,PROD42,STORE2,2023-07-07,2023-07-11,2023-07-12,2,1342.28
ORDER207,CUST5129,PROD154,STORE9,2023-02-01,2023-02-03,2023-02-03,10,6324.9
ORDER208,CUST2569,PROD103,STORE7,2023-02-15,2023-02-23,2023-02-24,10,18263.1
ORDER209,CUST3622,PROD216,STORE4,2023-12-03,2023-12-08,2023-12-08,8,14958.24
ORDER210,CUST4113,PROD195,STORE5,2023-12-12,2023-12-20,2023-12-20,4,467.12
ORDER211,CUST5389,PROD54,STORE8,2024-04-13,2024-04-18,2024-04-19,9,16533.18
ORDER212,CUST5903,PROD24,STORE4,2024-06-20,2024-06-24,2024-06-23,9,2955.78
ORDER213,CUST2086,PROD129,STORE10,2022-07-19,2022-07-26,2022-07-27,4,4034.52
ORDER214,CUST3557,PROD99,STORE9,2023-12-01,2023-12-08,2023-12-09,8,694.0
ORDER215,CUST2770,PROD206,STORE9,2024-12-24,2024-12-31,2024-12-31,6,4122.3
ORDER216,CUST5866,PROD264,STORE7,2022-01-15,2022-01-20,2022-01-19,4,1091.36
ORDER217,CUST6814,PROD209,STORE4,2022-09-01,2022-09-06,2022-09-05,8,9152.8
ORDER218,CUST596,PROD196,STORE6,2024-01-31,2024-02-04,2024-02-03,7,10036.32
ORDER219,CUST4108,PROD162,STORE4,2024-03-21,2024-03-30,2024-03-31,3,199.59
ORDER220,CUST6881,PROD161,STORE9,2022-06-30,2022-07-10,2022-07-11,9,17114.85
ORDER221,CUST599,PROD188,STORE10,2022-04-01,2022-04-08,2022-04-09,8,1812.0
ORDER222,CUST5951,PROD76,STORE5,2022-10-10,2022-10-19,2022-10-20,1,602.79
ORDER223,CUST7957,PROD38,STORE8,2023-06-01,2023-06-11,2023-06-10,4,5207.56
ORDER224,CUST7497,PROD39,STORE8,2024-04-22,2024-04-26,2024-04-26,8,9422.56
ORDER225,CUST234,PROD182,STORE9,2023-01-02,2023-01-09,2023-01-08,1,1341.41
ORDER226,CUST6419,PROD17,STORE6,2023-06-23,2023-06-29,2023-06-29,4,4139.84
ORDER227,CUST4418,PROD82,STORE3,2023-01-18,2023-01-21,2023-01-20,7,4133.43
ORDER228,CUST874,PROD215,STORE1,2022-05-11,2022-05-14,2022-05-13,1,1656.11
ORDER229,CUST7940,PROD220,STORE9,2023-08-28,2023-09-07,2023-09-06,3,2273.88
ORDER230,CUST3534,PROD143,STORE8,2022-09-23,2022-09-27,2022-09-26,7,5168.31
ORDER231,CUST6695,PROD148,STORE7,2024-08-13,2024-08-20,2024-08-20,9,11993.04
ORDER232,CUST694,PROD224,STORE3,2023-11-06,2023-11-14,2023-11-15,1,1026.85
ORDER233,CUST4020,PROD101,STORE1,2022-02-05,2022-02-13,2022-02-13,9,13481.46
ORDER234,CUST6060,PROD214,STORE6,2024-09-25,2024-10-02,2024-10-03,5,9145.7
ORDER235,CUST4802,PROD174,STORE4,2023-12-07,2023-12-16,2023-12-17,7,1258.39
ORDER236,CUST6268,PROD46,STORE6,2023-02-27,2023-03-01,2023-03-02,8,12683.28
ORDER237,CUST3457,PROD188,STORE8,2023-11-08,2023-11-14,2023-11-14,4,906.0
ORDER238,CUST7785,PROD257,STORE2,2024-06-09,2024-06-11,2024-06-11,2,2273.72
ORDER239,CUST7851,PROD104,STORE4,2022-01-28,2022-02-01,2022-02-02,2,261.54
ORDER240,CUST7405,PROD259,STORE6,2023-02-04,2023-02-08,2023-02-07,1,1645.61
ORDER241,CUST6769,PROD13,STORE2,2023-01-31,2023-02-05,2023-02-04,6,3857.94
ORDER242,CUST7345,PROD192,STORE9,2023-08-14,2023-08-21,2023-08-22,7,2134.93
ORDER243,CUST3677,PROD13,STORE7,2022-06-16,2022-06-20,2022-06-20,7,4500.93
ORDER244,CUST2418,PROD124,STORE6,2022-09-18,2022-09-21,2022-09-21,5,2798.5
ORDER245,CUST4505,PROD261,STORE6,2022-04-07,2022-04-12,2022-04-11,10,13239.0
ORDER246,CUST288,PROD210,STORE1,2024-04-23,2024-05-02,2024-05-01,9,10908.81
ORDER247,CUST431,PROD131,STORE4,2023-03-15,2023-03-24,2023-03-24,2,2221.06
ORDER248,CUST809,PROD153,STORE9,2022-04-26,2022-04-29,2022-04-28,4,5679.16
ORDER249,CUST1081,PROD158,STORE10,2023-08-31,2023-09-04,2023-09-05,7,9958.9
ORDER250,CUST5234,PROD57,STORE6,2022-03-25,2022-04-03,2022-04-03,1,509.44
ORDER251,CUST7522,PROD141,STORE8,2024-11-10,2024-11-16,2024-11-17,10,14593.5
ORDER252,CUST1711,PROD22,STORE4,2022-08-08,2022-08-16,2022-08-17,4,3928.76
ORDER253,CUST4691,PROD14,STORE8,2023-12-27,2024-01-06,2024-01-07,7,9833.25
ORDER254,CUST5815,PROD1,STORE1,2023-02-04,2023-02-06,2023-02-06,9,16902.18
ORDER255,CUST3442,PROD87,STORE9,2023-04-09,2023-04-18,2023-04-19,2,3382.62
ORDER256,CUST6188,PROD232,STORE2,2023-07-03,2023-07-09,2023-07-09,1,1338.11
ORDER257,CUST2641,PROD13,STORE10,2024-04-26,2024-05-06,2024-05-06,4,2571.96
ORDER258,CUST1296,PROD211,STORE5,2023-06-12,2023-06-17,2023-06-17,3,2363.04
ORDER259,CUST6900,PROD128,STORE2,2024-10-10,2024-10-20,2024-10-19,8,14831.28
ORDER260,CUST4259,PROD242,STORE10,2024-05-10,2024-05-20,2024-05-21,3,1447.08
ORDER261,CUST4846,PROD70,STORE7,2022-10-15,2022-10-17,2022-10-18,5,774.1
ORDER262,CUST2842,PROD194,STORE4,2024-03-27,2024-04-05,2024-04-06,2,3195.52
ORDER263,CUST7169,PROD73,STORE4,2023-11-01,2023-11-10,2023-11-09,1,393.18
ORDER264,CUST3650,PROD200,STORE1,2023-11-09,2023-11-17,2023-11-17,2,1054.36
ORDER265,CUST4038,PROD252,STORE2,2023-12-30,2024-01-01,2024-01-02,9,7524.99
ORDER266,CUST4371,PROD9,STORE6,2024-07-17,2024-07-19,2024-07-19,10,9131.0
ORDER267,CUST1618,PROD22,STORE9,2022-03-27,2022-03-30,2022-03-31,6,5893.14
ORDER268,CUST1505,PROD30,STORE10,2022-05-13,2022-05-22,2022-05-21,9,9046.89
ORDER269,CUST1128,PROD154,STORE2,2023-08-03,2023-08-11,2023-08-11,9,5692.41
ORDER270,CUST7068,PROD8,STORE3,2022-10-02,2022-10-07,2022-10-07,6,5807.28
ORDER271,CUST3776,PROD26,STORE2,2022-04-11,2022-04-13,2022-04-12,7,6619.83
ORDER272,CUST3573,PROD69,STORE9,2024-09-28,2024-10-05,2024-10-06,2,1041.14
ORDER273,CUST4812,PROD38,STORE7,2022-03-18,2022-03-28,2022-03-27,9,11717.01
ORDER274,CUST1498,PROD201,STORE3,2024-01-21,2024-01-25,2024-01-25,8,10287.6
ORDER275,CUST7426,PROD52,STORE10,2022-11-25,2022-12-03,2022-12-03,10,7886.5
ORDER276,CUST4806,PROD109,STORE5,2022-12-23,2022-12-27,2022-12-26,2,199.46
ORDER277,CUST4486,PROD106,STORE2,2024-03-15,2024-03-23,2024-03-24,5,6438.4
ORDER278,CUST1627,PROD130,STORE5,2022-11-29,2022-12-03,2022-12-04,7,2251.83
ORDER279,CUST4735,PROD244,STORE8,2022-12-30,2023-01-02,2023-01-02,2,2091.58
