OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,Total
DETAIL42,ORDER25,PROD132,3,1925.49,5776.47
DETAIL43,ORDER25,PROD150,2,715.26,1430.52
DETAIL44,ORDER26,PROD135,1,1496.91,1496.91
DETAIL45,ORDER26,PROD235,1,1436.86,1436.86
DETAIL46,ORDER26,PROD203,1,403.43,403.43
DETAIL47,ORDER27,PROD163,1,912.97,912.97
DETAIL48,ORDER28,PROD16,3,882.26,2646.78
DETAIL49,ORDER29,PROD203,1,403.43,403.43
DETAIL50,ORDER30,PROD118,7,538.09,3766.63
DETAIL51,ORDER30,PROD154,1,632.49,632.49
DETAIL52,ORDER30,PROD45,1,75.51,75.51
DETAIL53,ORDER31,PROD259,6,1645.61,9873.66
DETAIL54,ORDER31,PROD205,1,1315.11,1315.11
DETAIL55,ORDER32,PROD245,6,1973.76,11842.56
DETAIL56,ORDER33,PROD163,3,912.97,2738.91
DETAIL57,ORDER34,PROD157,5,1630.77,8153.85
DETAIL58,ORDER34,PROD119,5,119.86,599.3
DETAIL59,ORDER35,PROD45,2,75.51,151.02
DETAIL60,ORDER35,PROD102,5,1695.46,8477.3
DETAIL61,ORDER36,PROD14,3,1404.75,4214.25
DETAIL62,ORDER37,PROD99,1,86.75,86.75
DETAIL63,ORDER38,PROD204,1,1359.37,1359.37
DETAIL64,ORDER39,PROD169,1,144.04,144.04
DETAIL65,ORDER39,PROD222,7,1275.9,8931.3
DETAIL66,ORDER40,PROD149,8,158.35,1266.8
DETAIL67,ORDER41,PROD138,4,451.34,1805.36
DETAIL68,ORDER41,PROD189,3,298.21,894.63
DETAIL69,ORDER42,PROD11,4,1222.91,4891.64
DETAIL70,ORDER42,PROD173,2,1740.17,3480.34
DETAIL71,ORDER43,PROD93,1,1310.46,1310.46
DETAIL72,ORDER44,PROD207,7,331.82,2322.74
DETAIL73,ORDER45,PROD143,1,738.33,738.33
DETAIL74,ORDER46,PROD70,4,154.82,619.28
DETAIL75,ORDER47,PROD44,3,1152.56,3457.68
DETAIL76,ORDER48,PROD126,1,122.29,122.29
DETAIL77,ORDER48,PROD256,1,529.4,529.4
DETAIL78,ORDER48,PROD177,1,461.09,461.09
DETAIL79,ORDER49,PROD103,3,1826.31,5478.93
DETAIL80,ORDER50,PROD178,1,1175.78,1175.78
DETAIL81,ORDER51,PROD81,1,1222.72,1222.72
DETAIL82,ORDER51,PROD138,1,451.34,451.34
DETAIL83,ORDER52,PROD228,1,1752.87,1752.87
DETAIL84,ORDER53,PROD250,2,1787.61,3575.22
DETAIL85,ORDER54,PROD90,6,152.5,915.0
DETAIL86,ORDER54,PROD87,1,1691.31,1691.31
DETAIL87,ORDER55,PROD98,1,1958.92,1958.92
DETAIL88,ORDER55,PROD154,6,632.49,3794.94
DETAIL89,ORDER56,PROD189,4,298.21,1192.84
DETAIL90,ORDER56,PROD65,4,1152.39,4609.56
DETAIL91,ORDER57,PROD123,3,1414.08,4242.24
DETAIL92,ORDER58,PROD233,7,1176.96,8238.72
DETAIL93,ORDER59,PROD193,8,1613.58,12908.64
DETAIL94,ORDER60,PROD10,4,1076.07,4304.28
DETAIL95,ORDER61,PROD177,5,461.09,2305.45
DETAIL96,ORDER61,PROD126,1,122.29,122.29
DETAIL97,ORDER62,PROD206,4,687.05,2748.2
DETAIL98,ORDER63,PROD68,2,1987.75,3975.5
DETAIL99,ORDER63,PROD55,5,1835.23,9176.15
DETAIL100,ORDER64,PROD29,4,159.34,637.36
DETAIL101,ORDER64,PROD226,1,1371.33,1371.33
DETAIL102,ORDER65,PROD168,1,971.85,971.85
DETAIL103,ORDER65,PROD268,3,1750.59,5251.77
DETAIL104,ORDER66,PROD181,2,184.39,368.78
DETAIL105,ORDER66,PROD259,1,1645.61,1645.61
DETAIL106,ORDER66,PROD78,1,1837.3,1837.3
DETAIL107,ORDER67,PROD242,1,482.36,482.36
DETAIL108,ORDER67,PROD136,1,1272.39,1272.39
DETAIL109,ORDER67,PROD172,1,1036.51,1036.51
DETAIL110,ORDER68,PROD257,1,1136.86,1136.86
DETAIL111,ORDER69,PROD118,4,538.09,2152.36
DETAIL112,ORDER70,PROD74,2,1315.07,2630.14
DETAIL113,ORDER71,PROD124,4,559.7,2238.8
DETAIL114,ORDER72,PROD220,3,757.96,2273.88
DETAIL115,ORDER72,PROD170,2,1597.14,3194.28
DETAIL116,ORDER73,PROD100,5,1843.47,9217.35
DETAIL117,ORDER73,PROD46,1,1585.41,1585.41
DETAIL118,ORDER74,PROD149,1,158.35,158.35
DETAIL119,ORDER75,PROD144,4,291.54,1166.16
DETAIL120,ORDER76,PROD78,1,1837.3,1837.3
DETAIL121,ORDER77,PROD194,8,1597.76,12782.08
DETAIL122,ORDER78,PROD197,4,508.62,2034.48
DETAIL123,ORDER78,PROD256,1,529.4,529.4
DETAIL124,ORDER78,PROD180,1,1968.03,1968.03
DETAIL125,ORDER79,PROD6,2,1387.83,2775.66
DETAIL126,ORDER80,PROD242,6,482.36,2894.16
DETAIL127,ORDER81,PROD84,10,1465.04,14650.4
DETAIL128,ORDER82,PROD28,2,79.41,158.82
DETAIL129,ORDER83,PROD16,2,882.26,1764.52
DETAIL130,ORDER83,PROD214,1,1829.14,1829.14
DETAIL131,ORDER84,PROD109,3,99.73,299.19
DETAIL132,ORDER84,PROD149,2,158.35,316.7
DETAIL133,ORDER84,PROD89,1,720.23,720.23
DETAIL134,ORDER85,PROD91,1,1858.59,1858.59
DETAIL135,ORDER85,PROD228,1,1752.87,1752.87
DETAIL136,ORDER86,PROD210,1,1212.09,1212.09
DETAIL137,ORDER87,PROD61,2,1069.72,2139.44
DETAIL138,ORDER88,PROD142,5,1532.02,7660.1
DETAIL139,ORDER89,PROD129,3,1008.63,3025.89
DETAIL140,ORDER90,PROD161,8,1901.65,15213.2
DETAIL141,ORDER91,PROD260,3,778.36,2335.08
DETAIL142,ORDER91,PROD162,4,66.53,266.12
DETAIL143,ORDER92,PROD65,4,1152.39,4609.56
DETAIL144,ORDER92,PROD63,3,1410.48,4231.44
DETAIL145,ORDER93,PROD118,1,538.09,538.09
DETAIL146,ORDER94,PROD10,2,1076.07,2152.14
DETAIL147,ORDER95,PROD40,4,1833.31,7333.24
DETAIL148,ORDER95,PROD227,1,978.25,978.25
DETAIL149,ORDER96,PROD219,3,1548.14,4644.42
DETAIL150,ORDER96,PROD195,5,116.78,583.9
DETAIL151,ORDER97,PROD71,4,276.72,1106.88
DETAIL152,ORDER97,PROD82,2,590.49,1180.98
DETAIL153,ORDER98,PROD30,1,1005.21,1005.21
DETAIL154,ORDER99,PROD225,2,725.64,1451.28
DETAIL155,ORDER100,PROD153,2,1419.79,2839.58
DETAIL156,ORDER101,PROD78,5,1837.3,9186.5
DETAIL157,ORDER102,PROD24,7,328.42,2298.94
DETAIL158,ORDER102,PROD202,2,892.09,1784.18
DETAIL159,ORDER103,PROD25,10,1613.58,16135.8
DETAIL160,ORDER104,PROD140,7,832.99,5830.93
DETAIL161,ORDER105,PROD92,3,1581.94,4745.82
DETAIL162,ORDER105,PROD97,1,1170.06,1170.06
DETAIL163,ORDER105,PROD255,1,1843.99,1843.99
DETAIL164,ORDER106,PROD118,7,538.09,3766.63
DETAIL165,ORDER107,PROD119,1,119.86,119.86
DETAIL166,ORDER107,PROD224,3,1026.85,3080.55
DETAIL167,ORDER108,PROD56,1,1390.85,1390.85
DETAIL168,ORDER108,PROD17,3,1034.96,3104.88
DETAIL169,ORDER108,PROD158,1,1422.7,1422.7
DETAIL170,ORDER109,PROD201,2,1285.95,2571.9
DETAIL171,ORDER109,PROD221,4,1192.42,4769.68
DETAIL172,ORDER110,PROD129,1,1008.63,1008.63
DETAIL173,ORDER110,PROD166,1,1274.47,1274.47
DETAIL174,ORDER111,PROD266,4,610.3,2441.2
DETAIL175,ORDER111,PROD95,1,1329.3,1329.3
DETAIL176,ORDER111,PROD120,2,539.82,1079.64
DETAIL177,ORDER112,PROD141,2,1459.35,2918.7
DETAIL178,ORDER113,PROD14,1,1404.75,1404.75
DETAIL179,ORDER113,PROD210,7,1212.09,8484.63
DETAIL180,ORDER114,PROD247,3,399.83,1199.49
DETAIL181,ORDER115,PROD243,4,1558.58,6234.32
DETAIL182,ORDER116,PROD200,5,527.18,2635.9
DETAIL183,ORDER117,PROD171,4,1819.18,7276.72
DETAIL184,ORDER118,PROD194,3,1597.76,4793.28
DETAIL185,ORDER119,PROD170,3,1597.14,4791.42
DETAIL186,ORDER119,PROD85,3,1480.91,4442.73
DETAIL187,ORDER120,PROD202,3,892.09,2676.27
DETAIL188,ORDER120,PROD56,1,1390.85,1390.85
DETAIL189,ORDER121,PROD156,2,461.63,923.26
DETAIL190,ORDER122,PROD46,4,1585.41,6341.64
DETAIL191,ORDER122,PROD12,1,833.87,833.87
DETAIL192,ORDER123,PROD25,4,1613.58,6454.32
DETAIL193,ORDER123,PROD38,1,1301.89,1301.89
DETAIL194,ORDER124,PROD218,1,786.05,786.05
DETAIL195,ORDER125,PROD104,9,130.77,1176.93
DETAIL196,ORDER126,PROD87,3,1691.31,5073.93
DETAIL197,ORDER127,PROD165,5,668.67,3343.35
DETAIL198,ORDER128,PROD187,1,1856.81,1856.81
DETAIL199,ORDER129,PROD82,2,590.49,1180.98
DETAIL200,ORDER129,PROD32,1,1751.26,1751.26
DETAIL201,ORDER130,PROD176,3,1677.31,5031.93
DETAIL202,ORDER131,PROD130,3,321.69,965.07
DETAIL203,ORDER132,PROD27,3,838.43,2515.29
DETAIL204,ORDER133,PROD176,2,1677.31,3354.62
DETAIL205,ORDER133,PROD68,1,1987.75,1987.75
DETAIL206,ORDER134,PROD21,7,1173.26,8212.82
DETAIL207,ORDER134,PROD152,1,1182.6,1182.6
DETAIL208,ORDER135,PROD247,1,399.83,399.83
DETAIL209,ORDER136,PROD111,6,1696.44,10178.64
DETAIL210,ORDER136,PROD136,3,1272.39,3817.17
DETAIL211,ORDER137,PROD190,5,1220.02,6100.1
DETAIL212,ORDER138,PROD159,1,1504.46,1504.46
DETAIL213,ORDER139,PROD149,9,158.35,1425.15
DETAIL214,ORDER140,PROD207,5,331.82,1659.1
DETAIL215,ORDER141,PROD55,7,1835.23,12846.61
DETAIL216,ORDER142,PROD40,3,1833.31,5499.93
DETAIL217,ORDER142,PROD185,2,828.49,1656.98
DETAIL218,ORDER143,PROD8,1,967.88,967.88
DETAIL219,ORDER143,PROD113,1,1594.57,1594.57
DETAIL220,ORDER144,PROD27,6,838.43,5030.58
DETAIL221,ORDER145,PROD180,1,1968.03,1968.03
DETAIL222,ORDER146,PROD171,8,1819.18,14553.44
DETAIL223,ORDER146,PROD179,1,481.04,481.04
DETAIL224,ORDER147,PROD92,2,1581.94,3163.88
DETAIL225,ORDER148,PROD176,5,1677.31,8386.55
DETAIL226,ORDER148,PROD132,3,1925.49,5776.47
DETAIL227,ORDER149,PROD201,8,1285.95,10287.6
DETAIL228,ORDER150,PROD191,4,1134.63,4538.52
DETAIL229,ORDER151,PROD75,1,902.55,902.55
DETAIL230,ORDER152,PROD192,1,304.99,304.99
DETAIL231,ORDER153,PROD205,1,1315.11,1315.11
DETAIL232,ORDER154,PROD90,2,152.5,305.0
DETAIL233,ORDER154,PROD189,1,298.21,298.21
DETAIL234,ORDER155,PROD99,4,86.75,347.0
DETAIL235,ORDER156,PROD153,9,1419.79,12778.11
DETAIL236,ORDER156,PROD167,1,869.31,869.31
DETAIL237,ORDER157,PROD114,1,460.88,460.88
DETAIL238,ORDER158,PROD188,4,226.5,906.0
DETAIL239,ORDER159,PROD161,3,1901.65,5704.95
DETAIL240,ORDER160,PROD112,5,1658.14,8290.7
DETAIL241,ORDER160,PROD68,2,1987.75,3975.5
DETAIL242,ORDER161,PROD16,1,882.26,882.26
DETAIL243,ORDER161,PROD43,1,1684.88,1684.88
DETAIL244,ORDER161,PROD79,1,437.43,437.43
DETAIL245,ORDER162,PROD188,1,226.5,226.5
DETAIL246,ORDER163,PROD229,4,1283.1,5132.4
DETAIL247,ORDER164,PROD253,5,925.45,4627.25
DETAIL248,ORDER164,PROD15,4,1370.57,5482.28
DETAIL249,ORDER165,PROD247,7,399.83,2798.81
DETAIL250,ORDER166,PROD96,1,1291.41,1291.41
DETAIL251,ORDER166,PROD216,1,1869.78,1869.78
DETAIL252,ORDER167,PROD63,2,1410.48,2820.96
DETAIL253,ORDER168,PROD68,2,1987.75,3975.5
DETAIL254,ORDER169,PROD194,2,1597.76,3195.52
DETAIL255,ORDER169,PROD117,1,649.93,649.93
DETAIL256,ORDER170,PROD266,1,610.3,610.3
DETAIL257,ORDER170,PROD53,2,767.95,1535.9
DETAIL258,ORDER171,PROD91,2,1858.59,3717.18
DETAIL259,ORDER171,PROD27,2,838.43,1676.86
DETAIL260,ORDER172,PROD98,1,1958.92,1958.92
DETAIL261,ORDER172,PROD62,3,852.24,2556.72
DETAIL262,ORDER173,PROD178,1,1175.78,1175.78
DETAIL263,ORDER174,PROD225,5,725.64,3628.2
DETAIL264,ORDER175,PROD40,2,1833.31,3666.62
DETAIL265,ORDER175,PROD179,1,481.04,481.04
DETAIL266,ORDER176,PROD168,2,971.85,1943.7
DETAIL267,ORDER176,PROD41,1,1607.22,1607.22
DETAIL268,ORDER177,PROD139,3,1788.69,5366.07
DETAIL269,ORDER177,PROD159,1,1504.46,1504.46
DETAIL270,ORDER178,PROD213,4,1268.91,5075.64
DETAIL271,ORDER179,PROD209,1,1144.1,1144.1
DETAIL272,ORDER180,PROD131,3,1110.53,3331.59
DETAIL273,ORDER181,PROD19,1,374.87,374.87
DETAIL274,ORDER182,PROD99,7,86.75,607.25
DETAIL275,ORDER182,PROD101,2,1497.94,2995.88
DETAIL276,ORDER183,PROD63,1,1410.48,1410.48
DETAIL277,ORDER184,PROD226,2,1371.33,2742.66
DETAIL278,ORDER185,PROD72,4,1382.04,5528.16
DETAIL279,ORDER186,PROD241,3,1894.41,5683.23
DETAIL280,ORDER186,PROD62,1,852.24,852.24
DETAIL281,ORDER186,PROD227,2,978.25,1956.5
DETAIL282,ORDER187,PROD218,1,786.05,786.05
DETAIL283,ORDER188,PROD227,1,978.25,978.25
DETAIL284,ORDER188,PROD56,1,1390.85,1390.85
DETAIL285,ORDER189,PROD71,2,276.72,553.44
DETAIL286,ORDER189,PROD155,1,1207.05,1207.05
DETAIL287,ORDER189,PROD49,1,1643.67,1643.67
DETAIL288,ORDER190,PROD56,3,1390.85,4172.55
DETAIL289,ORDER191,PROD45,2,75.51,151.02
DETAIL290,ORDER191,PROD104,1,130.77,130.77
DETAIL291,ORDER192,PROD121,2,616.75,1233.5
DETAIL292,ORDER193,PROD233,10,1176.96,11769.6
DETAIL293,ORDER194,PROD117,1,649.93,649.93
DETAIL294,ORDER195,PROD113,6,1594.57,9567.42
DETAIL295,ORDER196,PROD237,4,418.83,1675.32
DETAIL296,ORDER197,PROD18,7,940.64,6584.48
DETAIL297,ORDER197,PROD73,1,393.18,393.18
DETAIL298,ORDER197,PROD61,1,1069.72,1069.72
DETAIL299,ORDER198,PROD73,6,393.18,2359.08
DETAIL300,ORDER199,PROD71,2,276.72,553.44
DETAIL301,ORDER200,PROD264,3,272.84,818.52
DETAIL302,ORDER200,PROD203,5,403.43,2017.15
DETAIL303,ORDER200,PROD110,1,789.76,789.76
DETAIL304,ORDER201,PROD45,4,75.51,302.04
DETAIL305,ORDER202,PROD110,2,789.76,1579.52
DETAIL306,ORDER202,PROD70,8,154.82,1238.56
DETAIL307,ORDER203,PROD33,1,979.83,979.83
DETAIL308,ORDER204,PROD86,1,1217.44,1217.44
DETAIL309,ORDER205,PROD73,7,393.18,2752.26
DETAIL310,ORDER206,PROD20,2,1310.7,2621.4
DETAIL311,ORDER207,PROD179,1,481.04,481.04
DETAIL312,ORDER207,PROD68,4,1987.75,7951.0
DETAIL313,ORDER208,PROD41,4,1607.22,6428.88
DETAIL314,ORDER209,PROD45,5,75.51,377.55
DETAIL315,ORDER209,PROD51,3,1134.21,3402.63
DETAIL316,ORDER210,PROD19,3,374.87,1124.61
DETAIL317,ORDER210,PROD210,1,1212.09,1212.09
DETAIL318,ORDER211,PROD162,9,66.53,598.77
DETAIL319,ORDER212,PROD267,4,1308.4,5233.6
DETAIL320,ORDER212,PROD187,3,1856.81,5570.43
DETAIL321,ORDER212,PROD65,2,1152.39,2304.78
DETAIL322,ORDER213,PROD211,2,787.68,1575.36
DETAIL323,ORDER214,PROD214,1,1829.14,1829.14
DETAIL324,ORDER215,PROD255,4,1843.99,7375.96
DETAIL325,ORDER215,PROD52,1,788.65,788.65
DETAIL326,ORDER216,PROD230,2,1364.56,2729.12
DETAIL327,ORDER216,PROD189,1,298.21,298.21
DETAIL328,ORDER216,PROD135,1,1496.91,1496.91
DETAIL329,ORDER217,PROD131,3,1110.53,3331.59
DETAIL330,ORDER217,PROD10,2,1076.07,2152.14
DETAIL331,ORDER218,PROD71,6,276.72,1660.32
DETAIL332,ORDER218,PROD107,1,868.62,868.62
DETAIL333,ORDER219,PROD127,2,1245.37,2490.74
DETAIL334,ORDER219,PROD39,1,1177.82,1177.82
DETAIL335,ORDER220,PROD134,6,725.75,4354.5
DETAIL336,ORDER220,PROD237,3,418.83,1256.49
DETAIL337,ORDER221,PROD75,2,902.55,1805.1
DETAIL338,ORDER221,PROD181,6,184.39,1106.34
DETAIL339,ORDER222,PROD157,1,1630.77,1630.77
DETAIL340,ORDER223,PROD196,3,1433.76,4301.28
DETAIL341,ORDER224,PROD246,4,1575.6,6302.4
DETAIL342,ORDER225,PROD194,1,1597.76,1597.76
DETAIL343,ORDER226,PROD71,4,276.72,1106.88
DETAIL344,ORDER227,PROD5,2,713.65,1427.3
DETAIL345,ORDER228,PROD87,1,1691.31,1691.31
DETAIL346,ORDER229,PROD2,3,1965.67,5897.01
DETAIL347,ORDER230,PROD208,7,685.36,4797.52
DETAIL348,ORDER231,PROD263,1,1528.77,1528.77
DETAIL349,ORDER231,PROD230,4,1364.56,5458.24
DETAIL350,ORDER232,PROD222,1,1275.9,1275.9
DETAIL351,ORDER233,PROD102,3,1695.46,5086.38
DETAIL352,ORDER234,PROD127,2,1245.37,2490.74
DETAIL353,ORDER234,PROD215,2,1656.11,3312.22
DETAIL354,ORDER235,PROD162,1,66.53,66.53
DETAIL355,ORDER236,PROD165,7,668.67,4680.69
DETAIL356,ORDER237,PROD203,3,403.43,1210.29
DETAIL357,ORDER237,PROD119,1,119.86,119.86
DETAIL358,ORDER238,PROD90,1,152.5,152.5
DETAIL359,ORDER239,PROD138,1,451.34,451.34
DETAIL360,ORDER239,PROD64,1,199.63,199.63
DETAIL361,ORDER240,PROD264,1,272.84,272.84
DETAIL362,ORDER241,PROD117,2,649.93,1299.86
DETAIL363,ORDER242,PROD113,5,1594.57,7972.85
DETAIL364,ORDER242,PROD158,2,1422.7,2845.4
DETAIL365,ORDER243,PROD158,1,1422.7,1422.7
DETAIL366,ORDER243,PROD16,3,882.26,2646.78
DETAIL367,ORDER243,PROD34,3,440.9,1322.7
DETAIL368,ORDER244,PROD113,4,1594.57,6378.28
DETAIL369,ORDER244,PROD247,1,399.83,399.83
DETAIL370,ORDER245,PROD27,3,838.43,2515.29
DETAIL371,ORDER245,PROD111,6,1696.44,10178.64
DETAIL372,ORDER246,PROD247,7,399.83,2798.81
DETAIL373,ORDER247,PROD12,1,833.87,833.87
DETAIL374,ORDER247,PROD153,1,1419.79,1419.79
DETAIL375,ORDER248,PROD251,4,527.66,2110.64
DETAIL376,ORDER249,PROD204,3,1359.37,4078.11
DETAIL377,ORDER250,PROD219,1,1548.14,1548.14
DETAIL378,ORDER251,PROD83,9,700.36,6303.24
DETAIL379,ORDER251,PROD37,1,680.31,680.31
DETAIL380,ORDER252,PROD142,1,1532.02,1532.02
DETAIL381,ORDER252,PROD98,3,1958.92,5876.76
DETAIL382,ORDER253,PROD214,3,1829.14,5487.42
DETAIL383,ORDER253,PROD24,4,328.42,1313.68
DETAIL384,ORDER254,PROD102,2,1695.46,3390.92
DETAIL385,ORDER254,PROD201,6,1285.95,7715.7
DETAIL386,ORDER254,PROD93,1,1310.46,1310.46
DETAIL387,ORDER255,PROD145,1,682.0,682.0
DETAIL388,ORDER255,PROD126,1,122.29,122.29
DETAIL389,ORDER256,PROD145,1,682.0,682.0
DETAIL390,ORDER257,PROD105,2,1781.41,3562.82
DETAIL391,ORDER258,PROD208,1,685.36,685.36
DETAIL392,ORDER258,PROD189,1,298.21,298.21
DETAIL393,ORDER259,PROD173,1,1740.17,1740.17
DETAIL394,ORDER259,PROD34,7,440.9,3086.3
DETAIL395,ORDER260,PROD103,3,1826.31,5478.93
DETAIL396,ORDER261,PROD123,5,1414.08,7070.4
DETAIL397,ORDER262,PROD101,1,1497.94,1497.94
DETAIL398,ORDER262,PROD41,1,1607.22,1607.22
DETAIL399,ORDER263,PROD242,1,482.36,482.36
DETAIL400,ORDER264,PROD242,1,482.36,482.36
DETAIL401,ORDER265,PROD35,5,479.36,2396.8
DETAIL402,ORDER265,PROD228,4,1752.87,7011.48
DETAIL403,ORDER266,PROD100,3,1843.47,5530.41
DETAIL404,ORDER267,PROD104,5,130.77,653.85
DETAIL405,ORDER267,PROD89,1,720.23,720.23
DETAIL406,ORDER268,PROD185,3,828.49,2485.47
DETAIL407,ORDER268,PROD237,1,418.83,418.83
DETAIL408,ORDER268,PROD4,3,1491.7,4475.1
DETAIL409,ORDER269,PROD200,6,527.18,3163.08
DETAIL410,ORDER269,PROD41,2,1607.22,3214.44
DETAIL411,ORDER269,PROD207,1,331.82,331.82
DETAIL412,ORDER270,PROD11,1,1222.91,1222.91
DETAIL413,ORDER271,PROD229,5,1283.1,6415.5
DETAIL414,ORDER272,PROD108,2,347.9,695.8
DETAIL415,ORDER273,PROD239,7,58.31,408.17
DETAIL416,ORDER273,PROD133,2,971.0,1942.0
DETAIL417,ORDER274,PROD50,3,211.47,634.41
DETAIL418,ORDER275,PROD30,9,1005.21,9046.89
DETAIL419,ORDER275,PROD106,1,1287.68,1287.68
DETAIL420,ORDER276,PROD70,2,154.82,309.64
DETAIL421,ORDER277,PROD97,1,1170.06,1170.06
DETAIL422,ORDER278,PROD136,5,1272.39,6361.95
DETAIL423,ORDER278,PROD115,2,1017.94,2035.88
DETAIL424,ORDER279,PROD222,1,1275.9,1275.9
DETAIL425,ORDER279,PROD36,1,1366.18,1366.18
DETAIL426,ORDER280,PROD202,1,892.09,892.09
DETAIL427,ORDER280,PROD155,1,1207.05,1207.05
DETAIL428,ORDER281,PROD113,4,1594.57,6378.28
DETAIL429,ORDER282,PROD207,4,331.82,1327.28
DETAIL430,ORDER282,PROD148,1,1332.56,1332.56
DETAIL431,ORDER283,PROD95,2,1329.3,2658.6
DETAIL432,ORDER283,PROD230,3,1364.56,4093.68
DETAIL433,ORDER284,PROD32,1,1751.26,1751.26
DETAIL434,ORDER284,PROD124,3,559.7,1679.1
DETAIL435,ORDER284,PROD142,3,1532.02,4596.06
DETAIL436,ORDER285,PROD267,3,1308.4,3925.2
DETAIL437,ORDER286,PROD174,4,179.77,719.08
DETAIL438,ORDER286,PROD190,3,1220.02,3660.06
DETAIL439,ORDER287,PROD93,5,1310.46,6552.3
DETAIL440,ORDER287,PROD125,2,299.99,599.98
DETAIL441,ORDER287,PROD39,3,1177.82,3533.46
DETAIL442,ORDER288,PROD42,2,671.14,1342.28
DETAIL443,ORDER288,PROD58,2,1754.73,3509.46
DETAIL444,ORDER289,PROD212,8,930.76,7446.08
DETAIL445,ORDER290,PROD176,3,1677.31,5031.93
DETAIL446,ORDER290,PROD245,5,1973.76,9868.8
DETAIL447,ORDER291,PROD6,4,1387.83,5551.32
DETAIL448,ORDER291,PROD225,1,725.64,725.64
DETAIL449,ORDER291,PROD157,1,1630.77,1630.77
DETAIL450,ORDER292,PROD66,5,1820.69,9103.45
DETAIL451,ORDER292,PROD48,1,1254.74,1254.74
DETAIL452,ORDER292,PROD228,1,1752.87,1752.87
DETAIL453,ORDER293,PROD102,2,1695.46,3390.92
DETAIL454,ORDER294,PROD146,7,1226.36,8584.52
DETAIL455,ORDER294,PROD193,3,1613.58,4840.74
DETAIL456,ORDER295,PROD110,1,789.76,789.76
DETAIL457,ORDER296,PROD35,1,479.36,479.36
DETAIL458,ORDER297,PROD31,2,1375.41,2750.82
DETAIL459,ORDER298,PROD265,4,574.08,2296.32
DETAIL460,ORDER299,PROD218,1,786.05,786.05
DETAIL461,ORDER300,PROD208,4,685.36,2741.44
DETAIL462,ORDER301,PROD104,6,130.77,784.62
DETAIL463,ORDER301,PROD149,1,158.35,158.35
DETAIL464,ORDER302,PROD180,1,1968.03,1968.03
DETAIL465,ORDER302,PROD119,2,119.86,239.72
DETAIL466,ORDER303,PROD222,5,1275.9,6379.5
DETAIL467,ORDER303,PROD203,1,403.43,403.43
DETAIL468,ORDER304,PROD55,3,1835.23,5505.69
DETAIL469,ORDER304,PROD211,6,787.68,4726.08
DETAIL470,ORDER304,PROD108,1,347.9,347.9
DETAIL471,ORDER305,PROD194,7,1597.76,11184.32
DETAIL472,ORDER306,PROD237,8,418.83,3350.64
DETAIL473,ORDER306,PROD58,1,1754.73,1754.73
DETAIL474,ORDER307,PROD114,2,460.88,921.76
DETAIL475,ORDER308,PROD188,4,226.5,906.0
DETAIL476,ORDER309,PROD10,3,1076.07,3228.21
