ReturnID,OrderID,ProductID,ReturnDate,Reason,Status,RefundAmount
RETURN169,ORDER8719,PROD184,2024-04-29,Not as Described,Rejected,0.0
RETURN170,ORDER18303,PROD37,2023-08-30,Changed Mind,Rejected,0.0
RETURN171,ORDER3110,PROD174,2023-12-20,Changed Mind,Accepted,539.31
RETURN172,ORDER7254,PROD176,2023-09-01,Wrong Item,Rejected,0.0
RETURN173,ORDER17112,PROD88,2023-07-17,Not as Described,Accepted,12459.6
RETURN174,ORDER13267,PROD188,2023-09-06,Changed Mind,Accepted,1359.0
RETURN175,ORDER7144,PROD4,2022-10-29,Defective,Rejected,0.0
RETURN176,ORDER8448,PROD218,2023-08-26,Defective,Accepted,3930.25
RETURN177,ORDER281,PROD159,2022-02-03,Wrong Item,Accepted,6017.84
RETURN178,ORDER13678,PROD260,2022-08-26,Changed Mind,Rejected,0.0
RETURN179,ORDER2643,PROD5,2022-05-28,Defective,Rejected,0.0
RETURN180,ORDER12247,PROD156,2024-12-06,Defective,Rejected,0.0
RETURN181,ORDER18220,PROD111,2022-01-27,Wrong Item,Rejected,0.0
RETURN182,ORDER19166,PROD157,2023-08-11,Wrong Item,Accepted,4892.31
RETURN183,ORDER1114,PROD195,2024-09-27,Wrong Item,Accepted,934.24
RETURN184,ORDER3523,PROD266,2024-03-23,Defective,Rejected,0.0
RETURN185,ORDER10465,PROD115,2024-08-16,Not as Described,Accepted,1017.94
RETURN186,ORDER8216,PROD45,2023-07-12,Not as Described,Rejected,0.0
RETURN187,ORDER2848,PROD75,2024-05-20,Changed Mind,Rejected,0.0
RETURN188,ORDER6109,PROD78,2023-10-20,Not as Described,Accepted,3674.6
RETURN189,ORDER15213,PROD109,2023-02-23,Changed Mind,Rejected,0.0
RETURN190,ORDER6449,PROD268,2023-07-11,Not as Described,Accepted,8752.95
RETURN191,ORDER10042,PROD74,2024-09-18,Not as Described,Rejected,0.0
RETURN192,ORDER5443,PROD29,2023-09-13,Not as Described,Accepted,1115.38
RETURN193,ORDER8062,PROD159,2023-10-21,Changed Mind,Accepted,9026.76
RETURN194,ORDER2019,PROD86,2024-10-25,Wrong Item,Accepted,8522.08
RETURN195,ORDER6704,PROD184,2023-07-29,Wrong Item,Rejected,0.0
RETURN196,ORDER8584,PROD229,2022-02-04,Not as Described,Accepted,6415.5
RETURN197,ORDER16540,PROD32,2024-10-06,Changed Mind,Rejected,0.0
RETURN198,ORDER5074,PROD262,2024-04-13,Changed Mind,Accepted,2065.5
RETURN199,ORDER6160,PROD124,2024-03-14,Changed Mind,Accepted,5597.0
RETURN200,ORDER8992,PROD105,2024-05-19,Not as Described,Rejected,0.0
RETURN201,ORDER10640,PROD185,2022-11-09,Defective,Accepted,7456.41
RETURN202,ORDER3181,PROD9,2022-11-09,Changed Mind,Rejected,0.0
RETURN203,ORDER16213,PROD209,2022-10-25,Defective,Accepted,5720.5
RETURN204,ORDER437,PROD137,2023-11-25,Changed Mind,Accepted,3205.12
RETURN205,ORDER5273,PROD55,2022-07-10,Wrong Item,Accepted,11011.38
RETURN206,ORDER15898,PROD201,2024-05-19,Changed Mind,Accepted,1285.95
RETURN207,ORDER17650,PROD136,2023-11-22,Not as Described,Rejected,0.0
RETURN208,ORDER7695,PROD129,2022-02-17,Not as Described,Rejected,0.0
RETURN209,ORDER16275,PROD124,2024-09-19,Wrong Item,Accepted,2238.8
RETURN210,ORDER2510,PROD150,2024-12-23,Changed Mind,Rejected,0.0
RETURN211,ORDER7575,PROD267,2024-12-11,Not as Described,Accepted,6542.0
RETURN212,ORDER19452,PROD230,2023-07-25,Wrong Item,Rejected,0.0
RETURN213,ORDER2425,PROD138,2022-08-10,Defective,Accepted,4062.06
RETURN214,ORDER3657,PROD16,2023-11-07,Defective,Accepted,4411.3
RETURN215,ORDER10898,PROD116,2023-11-24,Not as Described,Rejected,0.0
RETURN216,ORDER12282,PROD210,2024-11-10,Defective,Accepted,2424.18
RETURN217,ORDER16750,PROD146,2024-09-01,Not as Described,Accepted,7358.16
RETURN218,ORDER15549,PROD267,2024-07-22,Wrong Item,Accepted,3925.2
RETURN219,ORDER17262,PROD230,2024-07-15,Defective,Rejected,0.0
RETURN220,ORDER9617,PROD152,2023-08-26,Defective,Accepted,11826.0
RETURN221,ORDER18140,PROD182,2022-05-18,Changed Mind,Accepted,10731.28
RETURN222,ORDER5943,PROD4,2023-07-28,Changed Mind,Accepted,8950.2
RETURN223,ORDER11909,PROD208,2023-08-28,Changed Mind,Rejected,0.0
RETURN224,ORDER16762,PROD10,2022-05-26,Changed Mind,Accepted,6456.42
RETURN225,ORDER1630,PROD121,2022-02-09,Defective,Accepted,616.75
RETURN226,ORDER10762,PROD97,2022-05-22,Defective,Rejected,0.0
RETURN227,ORDER10493,PROD108,2024-12-24,Defective,Rejected,0.0
RETURN228,ORDER12565,PROD57,2022-05-28,Defective,Rejected,0.0
RETURN229,ORDER4990,PROD71,2022-02-19,Defective,Rejected,0.0
RETURN230,ORDER7385,PROD121,2024-07-31,Wrong Item,Accepted,2467.0
RETURN231,ORDER17069,PROD41,2022-12-23,Changed Mind,Rejected,0.0
RETURN232,ORDER9904,PROD4,2024-12-25,Not as Described,Rejected,0.0
RETURN233,ORDER1496,PROD40,2022-09-08,Not as Described,Accepted,12833.17
RETURN234,ORDER15754,PROD64,2022-09-29,Changed Mind,Rejected,0.0
RETURN235,ORDER9219,PROD219,2024-07-04,Changed Mind,Rejected,0.0
RETURN236,ORDER14566,PROD222,2023-12-10,Defective,Accepted,5103.6
RETURN237,ORDER16431,PROD227,2024-10-27,Wrong Item,Rejected,0.0
RETURN238,ORDER763,PROD266,2024-12-05,Changed Mind,Rejected,0.0
RETURN239,ORDER74,PROD257,2022-07-08,Not as Described,Accepted,1136.86
RETURN240,ORDER3142,PROD253,2022-05-09,Not as Described,Accepted,8329.05
RETURN241,ORDER14361,PROD51,2023-10-04,Defective,Rejected,0.0
RETURN242,ORDER10379,PROD48,2024-10-23,Wrong Item,Accepted,6273.7
RETURN243,ORDER14197,PROD72,2022-12-08,Defective,Rejected,0.0
RETURN244,ORDER12433,PROD110,2023-03-09,Defective,Accepted,3159.04
RETURN245,ORDER7471,PROD3,2023-02-03,Wrong Item,Accepted,4952.0
RETURN246,ORDER5805,PROD140,2023-01-22,Not as Described,Accepted,8329.9
RETURN247,ORDER7718,PROD244,2023-01-27,Defective,Rejected,0.0
RETURN248,ORDER5350,PROD77,2022-05-21,Changed Mind,Rejected,0.0
RETURN249,ORDER2145,PROD252,2022-02-07,Wrong Item,Rejected,0.0
RETURN250,ORDER17738,PROD122,2023-10-01,Wrong Item,Rejected,0.0
RETURN251,ORDER11553,PROD264,2023-02-28,Defective,Rejected,0.0
RETURN252,ORDER1950,PROD6,2024-05-04,Not as Described,Rejected,0.0
RETURN253,ORDER6123,PROD267,2022-06-10,Not as Described,Rejected,0.0
RETURN254,ORDER16820,PROD63,2022-07-07,Defective,Accepted,9873.36
RETURN255,ORDER19527,PROD198,2023-11-19,Not as Described,Rejected,0.0
RETURN256,ORDER135,PROD225,2024-11-05,Changed Mind,Accepted,1451.28
RETURN257,ORDER12208,PROD242,2024-07-04,Wrong Item,Rejected,0.0
RETURN258,ORDER1174,PROD73,2023-08-30,Defective,Accepted,3538.62
RETURN259,ORDER18845,PROD176,2023-07-26,Wrong Item,Accepted,5031.93
RETURN260,ORDER17135,PROD152,2024-05-29,Wrong Item,Rejected,0.0
RETURN261,ORDER19749,PROD80,2022-06-24,Defective,Accepted,2235.36
RETURN262,ORDER1206,PROD168,2024-07-22,Wrong Item,Accepted,3887.4
RETURN263,ORDER15169,PROD87,2025-01-05,Wrong Item,Accepted,16913.1
RETURN264,ORDER753,PROD225,2023-04-02,Not as Described,Accepted,7256.4
RETURN265,ORDER19232,PROD75,2022-10-29,Not as Described,Rejected,0.0
RETURN266,ORDER41,PROD99,2023-01-07,Defective,Accepted,607.25
RETURN267,ORDER16701,PROD106,2024-05-31,Changed Mind,Rejected,0.0
RETURN268,ORDER1642,PROD165,2022-09-15,Not as Described,Accepted,1337.34
RETURN269,ORDER1968,PROD7,2024-07-12,Wrong Item,Rejected,0.0
RETURN270,ORDER575,PROD180,2023-11-23,Not as Described,Rejected,0.0
RETURN271,ORDER7601,PROD73,2023-11-19,Not as Described,Accepted,1572.72
RETURN272,ORDER11719,PROD28,2022-12-28,Not as Described,Accepted,79.41
RETURN273,ORDER6529,PROD115,2022-01-25,Changed Mind,Accepted,6107.64
RETURN274,ORDER7023,PROD181,2023-07-16,Wrong Item,Accepted,1290.73
RETURN275,ORDER15460,PROD124,2022-03-19,Defective,Accepted,4477.6
RETURN276,ORDER2431,PROD30,2022-12-12,Wrong Item,Accepted,7036.47
RETURN277,ORDER18025,PROD83,2022-06-07,Defective,Rejected,0.0
RETURN278,ORDER16126,PROD6,2022-08-24,Wrong Item,Accepted,1387.83
RETURN279,ORDER12707,PROD181,2024-04-18,Changed Mind,Accepted,368.78
RETURN280,ORDER11615,PROD23,2022-01-21,Wrong Item,Rejected,0.0
RETURN281,ORDER18809,PROD28,2022-02-22,Changed Mind,Rejected,0.0
RETURN282,ORDER11689,PROD78,2024-05-25,Not as Described,Accepted,16535.7
RETURN283,ORDER1699,PROD175,2023-01-31,Wrong Item,Accepted,4610.2
RETURN284,ORDER2834,PROD116,2024-02-19,Not as Described,Accepted,828.48
RETURN285,ORDER4914,PROD93,2024-09-17,Wrong Item,Rejected,0.0
RETURN286,ORDER480,PROD39,2022-11-06,Changed Mind,Accepted,1177.82
RETURN287,ORDER17755,PROD24,2023-01-05,Not as Described,Rejected,0.0
RETURN288,ORDER16780,PROD214,2023-02-18,Wrong Item,Accepted,5487.42
RETURN289,ORDER17120,PROD255,2024-02-20,Wrong Item,Rejected,0.0
RETURN290,ORDER5422,PROD145,2022-11-15,Wrong Item,Rejected,0.0
RETURN291,ORDER6790,PROD68,2023-12-25,Wrong Item,Rejected,0.0
RETURN292,ORDER16344,PROD188,2024-10-03,Defective,Rejected,0.0
RETURN293,ORDER3585,PROD203,2022-06-11,Wrong Item,Rejected,0.0
RETURN294,ORDER10864,PROD28,2022-06-20,Not as Described,Rejected,0.0
RETURN295,ORDER1924,PROD215,2024-10-23,Wrong Item,Accepted,4968.33
RETURN296,ORDER11800,PROD221,2023-02-10,Changed Mind,Rejected,0.0
RETURN297,ORDER5835,PROD81,2022-10-08,Changed Mind,Accepted,2445.44
RETURN298,ORDER12215,PROD92,2024-10-28,Not as Described,Rejected,0.0
RETURN299,ORDER8707,PROD62,2022-11-08,Defective,Accepted,1704.48
RETURN300,ORDER10605,PROD261,2025-01-03,Changed Mind,Rejected,0.0
RETURN301,ORDER2441,PROD59,2023-08-18,Not as Described,Accepted,212.52
RETURN302,ORDER5414,PROD80,2023-06-04,Wrong Item,Rejected,0.0
RETURN303,ORDER2367,PROD87,2022-06-03,Defective,Accepted,16913.1
RETURN304,ORDER1374,PROD239,2023-09-30,Not as Described,Accepted,408.17
RETURN305,ORDER9754,PROD215,2023-05-20,Changed Mind,Rejected,0.0
RETURN306,ORDER4386,PROD215,2023-12-15,Not as Described,Accepted,3312.22
RETURN307,ORDER11212,PROD65,2023-08-07,Wrong Item,Rejected,0.0
RETURN308,ORDER2393,PROD241,2024-08-20,Not as Described,Rejected,0.0
RETURN309,ORDER4138,PROD71,2023-07-30,Wrong Item,Accepted,1937.04
RETURN310,ORDER6256,PROD30,2023-03-19,Defective,Rejected,0.0
RETURN311,ORDER10662,PROD89,2023-10-03,Changed Mind,Accepted,3601.15
RETURN312,ORDER10165,PROD172,2023-10-06,Defective,Accepted,7255.57
RETURN313,ORDER7697,PROD118,2022-12-30,Changed Mind,Rejected,0.0
RETURN314,ORDER9119,PROD50,2024-10-22,Changed Mind,Rejected,0.0
RETURN315,ORDER15603,PROD49,2022-01-11,Defective,Rejected,0.0
RETURN316,ORDER18183,PROD59,2024-11-29,Defective,Rejected,0.0
RETURN317,ORDER10704,PROD49,2023-09-24,Changed Mind,Accepted,6574.68
RETURN318,ORDER12129,PROD263,2024-10-11,Wrong Item,Rejected,0.0
RETURN319,ORDER11691,PROD245,2024-03-14,Wrong Item,Accepted,13816.32
RETURN320,ORDER4638,PROD104,2023-10-21,Changed Mind,Accepted,915.39
RETURN321,ORDER3355,PROD239,2022-02-09,Not as Described,Accepted,291.55
RETURN322,ORDER16589,PROD96,2024-12-21,Changed Mind,Rejected,0.0
RETURN323,ORDER17644,PROD33,2024-11-11,Changed Mind,Rejected,0.0
RETURN324,ORDER11730,PROD105,2023-11-17,Not as Described,Accepted,16032.69
RETURN325,ORDER16753,PROD124,2024-08-05,Changed Mind,Rejected,0.0
RETURN326,ORDER8220,PROD26,2024-01-06,Not as Described,Accepted,5674.14
RETURN327,ORDER5966,PROD221,2023-05-06,Wrong Item,Accepted,8346.94
RETURN328,ORDER8627,PROD262,2022-06-27,Changed Mind,Accepted,1239.3
RETURN329,ORDER2234,PROD19,2023-03-12,Changed Mind,Accepted,2998.96
RETURN330,ORDER5190,PROD59,2022-10-17,Defective,Rejected,0.0
RETURN331,ORDER8022,PROD66,2022-03-01,Not as Described,Accepted,7282.76
RETURN332,ORDER10091,PROD129,2024-08-14,Changed Mind,Accepted,5043.15
RETURN333,ORDER16381,PROD140,2024-07-14,Wrong Item,Accepted,3331.96
RETURN334,ORDER18373,PROD162,2022-02-28,Defective,Accepted,266.12
RETURN335,ORDER867,PROD250,2024-04-07,Not as Described,Rejected,0.0
RETURN336,ORDER4227,PROD4,2024-12-02,Not as Described,Accepted,13425.3
RETURN337,ORDER18276,PROD170,2023-01-21,Defective,Accepted,6388.56
RETURN338,ORDER13566,PROD9,2024-02-15,Not as Described,Rejected,0.0
RETURN339,ORDER15810,PROD243,2023-09-15,Wrong Item,Accepted,7792.9
RETURN340,ORDER11766,PROD21,2024-12-13,Changed Mind,Accepted,10559.34
RETURN341,ORDER9017,PROD201,2024-03-30,Changed Mind,Rejected,0.0
RETURN342,ORDER15992,PROD259,2023-08-07,Defective,Accepted,4936.83
RETURN343,ORDER19314,PROD173,2024-10-26,Wrong Item,Rejected,0.0
RETURN344,ORDER6650,PROD115,2023-01-27,Not as Described,Rejected,0.0
